French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
